objectid,wd18cd,wd18nm,wd18nmw,bng_e,bng_n,long,lat,st_areashape,st_lengthshape
7314,E05011419,Cross Heath, ,384288,347369,-2.23569012,53.02339935,1410768.49116448,6723.74355446067
7315,E05011420,Holditch & Chesterton, ,382895,348666,-2.25652003,53.03499985,4249291.95806178,11402.6665398115
7316,E05011421,Keele, ,381026,345478,-2.28420997,53.00630188,8613645.76427314,15637.557607159
7317,E05011422,Kidsgrove & Ravenscliffe, ,384298,354493,-2.23588991,53.08739853,3987989.66460461,15350.2525259729
7318,E05011423,Knutton, ,383303,346952,-2.25035,53.01959991,892252.731280585,4878.49679411141
7319,E05011424,Loggerheads, ,373404,336248,-2.39703012,52.92300034,47884547.9597933,40109.096278597
7320,E05011425,Madeley & Betley, ,377020,345075,-2.34387994,53.00249863,32369369.575456,36439.5546568833
7321,E05011426,Maer & Whitmore, ,378017,340187,-2.32868004,52.95859909,42895861.862652,39151.8074389872
7322,E05011427,May Bank, ,385662,347286,-2.21519995,53.02270126,1904878.59149254,7073.95840069943
7323,E05011428,Newchapel & Mow Cop, ,386067,355958,-2.20953989,53.10070038,6438140.18899413,14986.4743083925
7324,E05011429,Silverdale, ,382008,346606,-2.26962996,53.01649857,3660306.66566869,11059.9575119414
7325,E05011430,Talke & Butt Lane, ,382648,352950,-2.26044011,53.07350159,7008318.28571432,12556.722198203
7326,E05011431,Thistleberry, ,383476,345258,-2.24767995,53.00439835,2967922.97330255,9384.80391848416
7327,E05011432,Town, ,385064,345857,-2.22405005,53.00979996,1809069.70495375,7683.79086031406
7328,E05011433,Westbury Park & Northwood, ,385005,342880,-2.2247901,52.98310089,2248055.12946561,7921.49026420802
7329,E05011434,Westlands, ,384395,344364,-2.23393989,52.99639893,2946271.94607096,9213.95446217598
7330,E05011435,Wolstanton, ,385168,348284,-2.22261,53.03160095,1888234.45729489,9518.40644056705
7331,E05011436,Arthur's Hill, ,423485,564822,-1.63461995,54.97750092,1287426.8731643,5818.39394296052
7332,E05011437,Benwell & Scotswood, ,420679,564521,-1.67848003,54.97489929,3917470.94438944,8138.78972217378
7333,E05011438,Blakelaw, ,421776,567002,-1.66115999,54.99710083,3069655.01953105,8874.94233804662
7334,E05011439,Byker, ,427231,564398,-1.57614005,54.9734993,2611705.19732554,7768.9491790673
7335,E05011440,Callerton & Throckley, ,418125,568604,-1.71812999,55.01169968,24167694.1202039,31421.737729112
7336,E05011441,Castle, ,421117,573854,-1.67095995,55.05870056,21376058.8132631,24599.8752247028
7337,E05011442,Chapel, ,417841,567195,-1.72265005,54.99900055,2884308.38117933,7785.17570201638
